PRIVATESHOPSEARCH_COUNT	Count
PRIVATESHOPSEARCH_ITEMNAME	Item Name
PRIVATESHOPSEARCH_SEARCH_BAR	Global Search
PRIVATESHOPSEARCH_SELLER	Seller
PRIVATESHOPSEARCH_WEAPON	Weapon
PRIVATESHOPSEARCH_WEAPON_SWORD	Sword
PRIVATESHOPSEARCH_WEAPON_TWOHAND	Two-Handed
PRIVATESHOPSEARCH_WEAPON_DAGGER	Dagger
PRIVATESHOPSEARCH_WEAPON_BOW	Bow
PRIVATESHOPSEARCH_WEAPON_CLAW	Claw
PRIVATESHOPSEARCH_WEAPON_FAN	Fan
PRIVATESHOPSEARCH_WEAPON_BELL	Bell
PRIVATESHOPSEARCH_EQUIPMENT	Equipment
PRIVATESHOPSEARCH_EQUIPMENT_ARMOUR	Armour
PRIVATESHOPSEARCH_EQUIPMENT_SHIELD	Shield
PRIVATESHOPSEARCH_EQUIPMENT_EARRINGS	Earrings
PRIVATESHOPSEARCH_EQUIPMENT_NECKLACES	Necklaces
PRIVATESHOPSEARCH_EQUIPMENT_BRACELETS	Bracelets
PRIVATESHOPSEARCH_EQUIPMENT_SHOES	Shoes
PRIVATESHOPSEARCH_EQUIPMENT_BELTS	Belt
PRIVATESHOPSEARCH_EQUIPMENT_HELMETS	Helmets
PRIVATESHOPSEARCH_EQUIPMENT_TALISMAN	Talisman
PRIVATESHOPSEARCH_COSTUMES	Costumes
PRIVATESHOPSEARCH_COSTUMES_BODY	Costume Body
PRIVATESHOPSEARCH_COSTUMES_HAIR	Costume Hair
PRIVATESHOPSEARCH_COSTUMES_WEAPON_SKIN	Costume Weapon
PRIVATESHOPSEARCH_COSTUMES_SHOULDER_SASHES	Shoulder Sashes
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY	Dragon Soul Alchemy
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY_DRAGON_BEANS	Dragon Beans
PRIVATESHOPSEARCH_CONSUMABLES	Consumables
PRIVATESHOPSEARCH_CONSUMABLES_DEWS	Dews
PRIVATESHOPSEARCH_CONSUMABLES_HERBS	Herbs
PRIVATESHOPSEARCH_BOOKS	Books
PRIVATESHOPSEARCH_BOOKS_SKILLBOOK	Skill Books
PRIVATESHOPSEARCH_BOOKS_OTHERBOOK	Other Books
PRIVATESHOPSEARCH_BOOKS_WARDBOOK	Ward Books
PRIVATESHOPSEARCH_BOOKS_BOOSTBOOK	Boost Books
PRIVATESHOPSEARCH_BOOKS_PETBOOK	Pet Books
PRIVATESHOPSEARCH_BOOKS_LOWPETBOOKS	Low Pet Books
PRIVATESHOPSEARCH_OTHERITEMS	Other Items
PRIVATESHOPSEARCH_OTHERITEMS_REFINEMENT	Refinement Items
PRIVATESHOPSEARCH_OTHERITEMS_BIOLOGIST	Biologist Items
PRIVATESHOPSEARCH_OTHERITEMS_QUEST	Quest Items
PRIVATESHOPSEARCH_OTHERITEMS_ENERGY_SHARDS	Energy Shards
PRIVATESHOPSEARCH_OTHERITEMS_CHESTS	Chests
PRIVATESHOPSEARCH_HELPFULLITEMS	Helpfull Items
PRIVATESHOPSEARCH_HELPFULLITEMS_ENCHANT_ITEM	Enchant Items
PRIVATESHOPSEARCH_HELPFULLITEMS_OTHER_SWITCHERS	Other Switchers
PRIVATESHOPSEARCH_HELPFULLITEMS_ADVANCED_ITEMS	Advanced Items
PRIVATESHOPSEARCH_HELPFULLITEMS_METIN_STONE	Ghost Stone
PRIVATESHOPSEARCH_HELPFULLITEMS_RINGS	Rings
PRIVATESHOPSEARCH_ORES	Ores
PRIVATESHOPSEARCH_ORES_ORE	Ore
PRIVATESHOPSEARCH_ORES_REFINED_ORE	Refined Ore
PRIVATESHOPSEARCH_ORES_REFINED_ORE2	Refined Ore+
PRIVATESHOPSEARCH_PETS	Pets
PRIVATESHOPSEARCH_PETS_NICKNAME_SCROLL	Pet Name Scrolls
PRIVATESHOPSEARCH_PETS_PETS	Pets
PRIVATESHOPSEARCH_MOUNTS	Mount
PRIVATESHOPSEARCH_PETS_NEWPETS	Pet System Pets
SHOP_SEARCH_TITLE	Shop Search
CREATE_SEX	Gender
CREATE_MAN	Man
CREATE_WOMAN	Woman
SEARCH_DEFAULT	Default
CHARACTER_WARRIOR	Warrior
CHARACTER_ASSASSIN	Assassin
CHARACTER_SHAMAN	Shaman
CHARACTER_SURA	Sura
OFFLINESHOP_REMOVE_LOGS	Do you want remove all log?
CHARACTER_CREATE_MALE	Male
CHARACTER_CREATE_FEMALE	Female
REFINEMENT_GRADE	Refinement Grade
ALCHEMY_CLASS	Alchemy Class
ALCHEMY_CLEAR	Clear
ALCHEMY_FLAWLESS	Flawless
ALCHEMY_BRILLIANT	Brilliant
ALCHEMY_EXCELLENT	Excellent
ALCHEMY_MTSY	Mtsy
SEARCH_NOBONUS	No Bonus
SEARCH_BONUS	Bonus
